product_name,pet,pet_allergy,recommend
Kaytee Birdir's Blend,bird,almond,yes
Kaytee Birdir's Blend,bird,apple,yes
Kaytee Birdir's Blend,bird,barley,yes
Kaytee Birdir's Blend,bird,beef,yes
Kaytee Birdir's Blend,bird,broccoli,yes
Kaytee Birdir's Blend,bird,carrot,yes
Kaytee Birdir's Blend,bird,cashew,yes
Kaytee Birdir's Blend,bird,cheese,yes
Kaytee Birdir's Blend,bird,chicken,yes
Kaytee Birdir's Blend,bird,corn,no
Kaytee Birdir's Blend,bird,cranberry,yes
Kaytee Birdir's Blend,bird,dairy,yes
Kaytee Birdir's Blend,bird,duck,yes
Kaytee Birdir's Blend,bird,egg,yes
Kaytee Birdir's Blend,bird,fish,yes
Kaytee Birdir's Blend,bird,grain,yes
Kaytee Birdir's Blend,bird,lamb,yes
Kaytee Birdir's Blend,bird,milk,yes
Kaytee Birdir's Blend,bird,none,yes
Kaytee Birdir's Blend,bird,oats,yes
Kaytee Birdir's Blend,bird,pea,no
Kaytee Birdir's Blend,bird,peanut,no
Kaytee Birdir's Blend,bird,potato,yes
Kaytee Birdir's Blend,bird,pork,yes
Kaytee Birdir's Blend,bird,pumpkin,yes
Kaytee Birdir's Blend,bird,poultry,yes
Kaytee Birdir's Blend,bird,rice,yes
Kaytee Birdir's Blend,bird,salmon,yes
Kaytee Birdir's Blend,bird,seafood,yes
Kaytee Birdir's Blend,bird,shrimp,yes
Kaytee Birdir's Blend,bird,soy,yes
Kaytee Birdir's Blend,bird,sunflower,no
Kaytee Birdir's Blend,bird,tomato,yes
Kaytee Birdir's Blend,bird,tuna,yes
Kaytee Birdir's Blend,bird,turkey,yes
Kaytee Birdir's Blend,bird,wheat,no
Kaytee Cracked Corn,bird,almond,yes
Kaytee Cracked Corn,bird,apple,yes
Kaytee Cracked Corn,bird,barley,yes
Kaytee Cracked Corn,bird,beef,yes
Kaytee Cracked Corn,bird,broccoli,yes
Kaytee Cracked Corn,bird,carrot,yes
